Year,Country,Total,Coal,Oil,Gas,Cement,Flaring,Other
1992,Liechtenstein,0.20695,0.000109,0.172068,0.034773,0.0,0.0,0.0
1993,Liechtenstein,0.215034,9.9e-05,0.177406,0.037529,0.0,0.0,0.0
1994,Liechtenstein,0.201111,7e-05,0.162917,0.038123,0.0,0.0,0.0
1995,Liechtenstein,0.204202,6.8e-05,0.162467,0.041666,0.0,0.0,0.0
1996,Liechtenstein,0.20596,4.9e-05,0.158263,0.047648,0.0,0.0,0.0
1997,Liechtenstein,0.218376,5.2e-05,0.172112,0.046212,0.0,0.0,0.0
1998,Liechtenstein,0.229239,5.5e-05,0.178256,0.050928,0.0,0.0,0.0
1999,Liechtenstein,0.226566,2.9e-05,0.171753,0.054785,0.0,0.0,0.0
2000,Liechtenstein,0.21686,6.3e-05,0.162872,0.053925,0.0,0.0,0.0
2001,Liechtenstein,0.214671,3.4e-05,0.154966,0.059671,0.0,0.0,0.0
2002,Liechtenstein,0.220018,3.1e-05,0.158851,0.061136,0.0,0.0,0.0
2003,Liechtenstein,0.229355,3.4e-05,0.163923,0.065397,0.0,0.0,0.0
2004,Liechtenstein,0.229391,2.6e-05,0.160277,0.069088,0.0,0.0,0.0
2005,Liechtenstein,0.228986,2.3e-05,0.156867,0.072096,0.0,0.0,0.0
2006,Liechtenstein,0.231121,1.6e-05,0.157669,0.073436,0.0,0.0,0.0
2007,Liechtenstein,0.200794,1.3e-05,0.130126,0.070655,0.0,0.0,0.0
2008,Liechtenstein,0.219536,1e-05,0.146698,0.072827,0.0,0.0,0.0
2009,Liechtenstein,0.205375,5e-06,0.147851,0.057518,0.0,0.0,0.0
2010,Liechtenstein,0.19083,5e-06,0.130264,0.060561,0.0,0.0,0.0
2011,Liechtenstein,0.176782,5e-06,0.123212,0.053565,0.0,0.0,0.0
2012,Liechtenstein,0.185325,0.0,0.130825,0.0545,0.0,0.0,0.0
2013,Liechtenstein,0.192545,0.0,0.134731,0.057814,0.0,0.0,0.0
2014,Liechtenstein,0.161259,0.0,0.113199,0.048059,0.0,0.0,0.0
2015,Liechtenstein,0.159774,0.0,0.108468,0.051305,0.0,0.0,0.0
2016,Liechtenstein,0.149838,0.0,0.098863,0.050975,0.0,0.0,0.0
2017,Liechtenstein,0.155769,0.0,0.102288,0.053481,0.0,0.0,0.0
2018,Liechtenstein,0.14295,0.0,0.093291,0.049659,0.0,0.0,0.0
2019,Liechtenstein,0.149026,0.0,0.098729,0.050296,0.0,0.0,0.0
2020,Liechtenstein,0.141996,0.0,0.093475,0.048521,0.0,0.0,0.0
2021,Liechtenstein,0.15095,0.0,0.095377,0.055573,0.0,0.0,0.0
1990,Lithuania,35.767734,3.187051,19.82351,10.583082,1.668073,0.023885,0.482133
1991,Lithuania,37.849997,3.555129,21.319405,10.916733,1.549967,0.028218,0.480545
1992,Lithuania,21.201457,1.662027,12.118746,6.290001,0.754953,0.033518,0.342213
1993,Lithuania,16.353746,1.464818,10.925651,3.41391,0.363902,0.048036,0.137429
1994,Lithuania,15.801144,1.220176,10.074631,3.97881,0.381595,0.043273,0.102658
1995,Lithuania,15.091554,0.979148,9.063427,4.565558,0.307971,0.056943,0.118507
1996,Lithuania,15.773444,0.895311,9.449308,4.926515,0.317549,0.08566,0.099101
1997,Lithuania,15.196349,0.737671,9.348643,4.547781,0.366072,0.109367,0.086816
1998,Lithuania,16.030578,0.646718,10.74215,4.000729,0.411705,0.120924,0.108352
1999,Lithuania,13.482975,0.547675,8.390483,4.031561,0.345806,0.085439,0.08201
2000,Lithuania,11.8764,0.37847,6.494099,4.530097,0.292541,0.110203,0.07099
2001,Lithuania,12.627074,0.342059,7.156408,4.642064,0.283389,0.123315,0.079839
2002,Lithuania,12.69916,0.54751,6.937168,4.738516,0.2905,0.11462,0.070847
2003,Lithuania,12.692601,0.713543,6.386961,5.127024,0.292463,0.095923,0.076688
2004,Lithuania,13.287306,0.687531,6.871824,5.177496,0.351024,0.118553,0.080878
2005,Lithuania,14.117414,0.763105,7.238339,5.552448,0.383313,0.113046,0.067163
2006,Lithuania,14.434081,1.030194,7.177341,5.517216,0.515276,0.105633,0.088421
2007,Lithuania,15.824054,1.024928,7.559943,6.551531,0.524055,0.082772,0.080825
2008,Lithuania,15.20423,0.86736,7.828545,5.836302,0.453817,0.140767,0.077439
2009,Lithuania,13.043233,0.688946,6.892875,4.921338,0.284023,0.227784,0.028267
2010,Lithuania,13.946613,0.842852,6.848402,5.66358,0.289045,0.257944,0.04479
2011,Lithuania,14.292825,0.972862,6.525788,6.160258,0.319844,0.244249,0.069826
2012,Lithuania,14.349487,0.950419,6.759872,5.937292,0.395191,0.232871,0.073841
2013,Lithuania,13.355973,1.091504,6.551776,4.914412,0.460789,0.265389,0.072103
2014,Lithuania,13.108084,0.922524,6.80997,4.634943,0.400828,0.251207,0.088612
2015,Lithuania,13.319679,0.735889,7.132157,4.648749,0.518315,0.207193,0.077377
2016,Lithuania,13.351177,0.748809,7.677032,4.148532,0.452401,0.250769,0.073634
2017,Lithuania,13.571834,0.801037,7.763691,4.278543,0.450351,0.224225,0.053986
2018,Lithuania,13.691349,0.85889,8.078841,3.949079,0.511329,0.253596,0.039615
2019,Lithuania,13.923306,0.800845,8.192743,4.081111,0.578055,0.233942,0.036609
2020,Lithuania,13.653155,0.621598,8.021318,4.242133,0.556685,0.18161,0.02981
2021,Lithuania,13.880837,0.731517,8.376843,4.00437,0.556685,0.18161,0.02981
1990,Luxembourg,11.823353,6.30235,3.885955,1.035803,0.539358,2.6e-05,0.059861
1991,Luxembourg,12.443151,6.015192,4.783281,1.074272,0.514963,2.7e-05,0.055418
1992,Luxembourg,12.209723,5.539509,4.963488,1.121533,0.520445,2.8e-05,0.064719
1993,Luxembourg,12.354764,5.735721,4.960647,1.160559,0.432346,2.9e-05,0.065463
1994,Luxembourg,11.542475,4.843936,4.969793,1.173529,0.487189,2.9e-05,0.067999
1995,Luxembourg,9.151729,2.704531,4.60279,1.342809,0.434228,3.3e-05,0.067338
1996,Luxembourg,9.201614,2.459654,4.785672,1.461488,0.428195,3.6e-05,0.066568
1997,Luxembourg,8.55397,1.541343,5.012945,1.491388,0.442133,3.7e-05,0.066124
1998,Luxembourg,7.675949,0.420315,5.257356,1.495254,0.443924,3.8e-05,0.059061
1999,Luxembourg,8.127875,0.44378,5.6056,1.546433,0.465497,3.9e-05,0.066526
2000,Luxembourg,8.709963,0.470808,6.070173,1.609222,0.491553,4e-05,0.068167
2001,Luxembourg,9.207531,0.471383,6.459309,1.780522,0.428556,4.4e-05,0.067715
2002,Luxembourg,9.983685,0.37087,6.561094,2.540122,0.443254,6.3e-05,0.068282
2003,Luxembourg,10.45917,0.345734,7.080811,2.575653,0.389217,6.4e-05,0.06769
2004,Luxembourg,11.829091,0.385448,8.087145,2.859274,0.42747,7.1e-05,0.069682
2005,Luxembourg,12.087836,0.377213,8.392587,2.829239,0.419627,7e-05,0.0691
2006,Luxembourg,11.920357,0.469509,8.00907,2.958445,0.415402,7.4e-05,0.067858
2007,Luxembourg,11.31778,0.407653,7.6986,2.731198,0.410291,6.9e-05,0.069968
2008,Luxembourg,11.184473,0.355641,7.782907,2.594217,0.382386,6.6e-05,0.069256
2009,Luxembourg,10.638966,0.339359,7.21538,2.658786,0.357914,6.7e-05,0.06746
2010,Luxembourg,11.202164,0.326491,7.592927,2.842103,0.370656,7.2e-05,0.069914
2011,Luxembourg,11.102959,0.314884,7.864198,2.464277,0.389215,6.2e-05,0.070322
2012,Luxembourg,10.867476,0.285579,7.632693,2.500064,0.381119,6.4e-05,0.067957
2013,Luxembourg,10.325364,0.276175,7.508353,2.115234,0.371564,5.4e-05,0.053984
2014,Luxembourg,9.828191,0.277324,7.110833,2.006066,0.359823,5.1e-05,0.074095
2015,Luxembourg,9.347466,0.28822,6.823948,1.829656,0.329477,4.6e-05,0.07612
2016,Luxembourg,9.089235,0.294294,6.68528,1.681755,0.351368,4.2e-05,0.076495
2017,Luxembourg,9.261198,0.282571,6.874153,1.656906,0.370699,4.2e-05,0.076827
2018,Luxembourg,9.566671,0.267196,7.243558,1.60891,0.369492,4.1e-05,0.077475
2019,Luxembourg,9.751728,0.274406,7.395905,1.608057,0.394793,4.1e-05,0.078527
2020,Luxembourg,8.096513,0.237493,5.94124,1.469367,0.399139,3.7e-05,0.049238
2021,Luxembourg,8.354555,0.20919,6.125559,1.571392,0.399139,3.7e-05,0.049238
1990,Malta,2.394194,0.709556,1.683146,5.6e-05,0.0,0.0,0.001436
1991,Malta,2.238107,0.574808,1.661686,0.000113,0.0,0.0,0.001501
1992,Malta,2.29208,0.484881,1.80587,5.6e-05,0.0,0.0,0.001274
1993,Malta,2.870399,0.709569,2.15948,6.9e-05,0.0,0.0,0.00128
1994,Malta,2.647929,0.482538,2.163759,7.8e-05,0.0,0.0,0.001555
1995,Malta,2.43942,0.123063,2.314764,8.3e-05,0.0,0.0,0.00151
1996,Malta,2.550535,4.6e-05,2.549043,4.6e-05,0.0,0.0,0.0014
1997,Malta,2.556728,7.4e-05,2.555043,7.4e-05,0.0,0.0,0.001537
1998,Malta,2.513582,6.7e-05,2.512485,6.7e-05,0.0,0.0,0.000963
1999,Malta,2.591822,4.6e-05,2.591454,4.6e-05,0.0,0.0,0.000275
2000,Malta,2.507257,2.9e-05,2.506987,2.9e-05,0.0,0.0,0.000213
2001,Malta,2.647718,6.8e-05,2.647381,6.8e-05,0.0,0.0,0.000201
2002,Malta,2.687784,5.7e-05,2.687472,5.7e-05,0.0,0.0,0.000198
2003,Malta,2.960534,3.2e-05,2.960341,3.2e-05,0.0,0.0,0.000129
2004,Malta,2.819964,5.2e-05,2.819677,5.2e-05,0.0,0.0,0.000182
2005,Malta,2.644672,8.6e-05,2.644444,8.6e-05,0.0,0.0,5.7e-05
2006,Malta,2.661658,3.1e-05,2.661416,3.1e-05,0.0,0.0,0.000179
2007,Malta,2.731301,3.4e-05,2.731167,3.4e-05,0.0,0.0,6.7e-05
2008,Malta,2.739894,2e-05,2.739808,2e-05,0.0,0.0,4.6e-05
2009,Malta,2.527633,3.2e-05,2.527458,3.2e-05,0.0,0.0,0.000111
2010,Malta,2.589131,3.2e-05,2.588882,3.2e-05,0.0,0.0,0.000185
2011,Malta,2.577198,4.3e-05,2.576937,4.3e-05,0.0,0.0,0.000175
2012,Malta,2.726207,1.1e-05,2.725283,1.1e-05,0.0,0.0,0.000901
2013,Malta,2.37919,1.1e-05,2.37663,1.1e-05,0.0,0.0,0.002538
2014,Malta,2.364387,2.3e-05,2.361862,2.3e-05,0.0,0.0,0.002478
2015,Malta,1.665291,2.3e-05,1.663359,2.3e-05,0.0,0.0,0.001886
2016,Malta,1.356353,1.2e-05,1.355205,1.2e-05,0.0,0.0,0.001125
2017,Malta,1.530878,1.2e-05,0.978233,0.552342,0.0,0.0,0.000291
2018,Malta,1.546948,1.2e-05,0.865988,0.680744,0.0,0.0,0.000204
2019,Malta,1.649193,1.1e-05,0.940833,0.708166,0.0,0.0,0.000183
2020,Malta,1.599576,0.0,0.863125,0.736261,0.0,0.0,0.000191
2021,Malta,1.724154,0.0,0.880683,0.84328,0.0,0.0,0.000191
1990,Netherlands,161.806917,34.193213,52.012336,73.122423,0.4158,0.885069,1.178075
1991,Netherlands,170.227322,31.654613,54.783466,81.308365,0.49788,0.81853,1.164468
1992,Netherlands,170.015192,31.238887,57.124557,79.300136,0.449,0.751999,1.150612
1993,Netherlands,170.206051,31.581532,54.447755,81.86134,0.458,0.685476,1.171948
1994,Netherlands,170.787558,34.654619,55.00364,78.700402,0.463,0.619396,1.346501
1995,Netherlands,172.300139,34.700636,54.31781,81.002937,0.428,0.552218,1.298538
1996,Netherlands,181.452353,33.335746,56.049372,89.999535,0.316,0.496063,1.255637
1997,Netherlands,174.492784,32.503294,55.777552,84.033286,0.376,0.605919,1.196732
1998,Netherlands,175.461134,33.327229,57.123327,82.968774,0.432,0.418615,1.191189
1999,Netherlands,169.934487,29.306972,57.675752,81.017392,0.517,0.308082,1.109287
2000,Netherlands,171.08223,30.686524,57.505653,80.976666,0.469,0.351173,1.093214
2001,Netherlands,176.207519,32.697145,58.553544,83.049307,0.478,0.254374,1.175148
2002,Netherlands,175.567735,32.950344,57.659065,82.163868,0.48879,1.202153,1.103515
2003,Netherlands,179.005305,34.033139,59.532832,82.767751,0.433922,1.126542,1.111118
2004,Netherlands,180.891772,33.535617,59.591936,85.119637,0.445866,1.08035,1.118365
2005,Netherlands,176.91731,32.289046,59.333386,82.548924,0.420721,1.16135,1.163883
2006,Netherlands,172.092066,30.71523,58.684183,80.002788,0.399936,1.147247,1.142681
2007,Netherlands,171.874012,33.032612,58.610383,77.470827,0.402967,1.210913,1.14631
2008,Netherlands,174.853119,32.019459,59.06152,81.202184,0.398937,0.999787,1.171231
2009,Netherlands,169.529326,29.412825,55.784963,81.738632,0.416211,1.126938,1.049755
2010,Netherlands,181.526727,30.421527,56.975204,91.539417,0.348186,1.134279,1.108113
2011,Netherlands,168.25966,29.621894,56.387928,79.728368,0.350955,0.976545,1.19397
2012,Netherlands,164.688781,31.877189,54.298709,76.114865,0.308087,0.86375,1.226182
2013,Netherlands,164.674489,32.443575,52.668465,76.947365,0.274032,1.137257,1.203794
2014,Netherlands,157.655585,35.796986,52.198939,67.011159,0.282303,1.091804,1.274395
2015,Netherlands,164.142511,43.545755,51.888597,66.148062,0.249424,1.037323,1.273351
2016,Netherlands,164.862023,40.067734,53.200643,68.948127,0.23898,1.103562,1.302977
2017,Netherlands,162.493965,36.032114,52.933151,70.730035,0.297969,1.117856,1.382841
2018,Netherlands,158.62784,32.532565,53.609722,69.856876,0.220412,1.101209,1.307055
2019,Netherlands,153.032807,25.30793,52.999956,72.47401,0.006337,1.062042,1.182532
2020,Netherlands,137.849518,16.994711,48.155713,70.666977,0.0,0.931461,1.100655
2021,Netherlands,141.045431,23.00083,47.937075,68.082747,0.006337,0.925194,1.093249
1990,New Zealand,25.502507,4.653308,12.390564,7.139258,0.448748,0.459728,0.410901
1991,New Zealand,26.182595,4.503458,12.279625,7.951117,0.437702,0.554613,0.456079
1992,New Zealand,28.166921,4.92163,13.292309,8.419119,0.477227,0.540355,0.516281
1993,New Zealand,27.761185,4.888937,13.167528,8.165956,0.489257,0.518565,0.530941
1994,New Zealand,27.900043,4.627035,14.084421,7.61212,0.496924,0.540838,0.538705
1995,New Zealand,28.003492,4.630911,14.735471,7.015173,0.538669,0.500365,0.582902
1996,New Zealand,29.304544,4.58489,14.898514,8.10741,0.510315,0.666607,0.536808
1997,New Zealand,31.278675,4.933863,15.220738,9.273528,0.532239,0.713841,0.604466
1998,New Zealand,29.85854,4.519247,15.503817,7.99718,0.488934,0.705025,0.644338
1999,New Zealand,31.46559,4.61923,15.809274,9.169569,0.532148,0.616163,0.719206
2000,New Zealand,32.246009,4.408803,16.472749,9.488968,0.530782,0.593257,0.751451
2001,New Zealand,34.379213,5.411679,16.589427,10.443922,0.534743,0.612919,0.786524
2002,New Zealand,34.542293,5.420526,17.322349,9.86039,0.550921,0.586995,0.801111
2003,New Zealand,36.241474,7.739602,18.10184,8.52243,0.534082,0.611221,0.732298
2004,New Zealand,35.836298,8.013108,18.484268,7.255083,0.487544,0.863323,0.732971
2005,New Zealand,37.42407,8.918768,18.664121,7.565797,0.576644,0.90925,0.789491
2006,New Zealand,37.33016,8.795561,18.794946,7.551604,0.544754,0.958884,0.684411
2007,New Zealand,36.410664,6.725796,19.000671,8.259367,0.687302,1.021329,0.716198
2008,New Zealand,37.509257,8.28447,18.859659,7.811121,0.639092,1.242176,0.672739
2009,New Zealand,34.620669,6.316473,18.133381,7.457545,0.586049,1.366735,0.760487
2010,New Zealand,34.811084,5.458101,18.210298,8.382277,0.557421,1.505822,0.697164
2011,New Zealand,34.265851,5.534238,18.407233,7.625945,0.528527,1.45993,0.709977
2012,New Zealand,35.94509,6.852585,18.153914,8.342925,0.568627,1.278919,0.748119
2013,New Zealand,35.241004,6.01303,18.540746,8.37288,0.586336,1.09255,0.635461
2014,New Zealand,35.438926,5.442055,18.850886,8.601687,0.619461,1.22411,0.700727
2015,New Zealand,35.813107,5.469636,19.370571,8.30504,0.620712,1.34789,0.699259
2016,New Zealand,34.152639,4.465043,19.489269,7.893822,0.486377,1.152258,0.66587
2017,New Zealand,35.688127,4.669294,20.361619,8.517795,0.443775,1.089133,0.606511
2018,New Zealand,35.704539,5.249307,20.533968,7.898728,0.417966,0.992163,0.612408
2019,New Zealand,37.121034,5.985768,20.911832,8.240141,0.41094,0.912907,0.659446
2020,New Zealand,34.456753,5.755663,19.124118,7.846914,0.379157,0.780728,0.570172
2021,New Zealand,33.789825,6.751966,18.649909,6.657892,0.379157,0.780728,0.570172
1990,Norway,35.097,3.6886,20.3444,7.503,0.634,1.911,1.016
1991,Norway,33.535,3.264,19.529,7.829,0.592,1.395,0.926
1992,Norway,34.455,3.2928,19.8172,8.337,0.653,1.386,0.969
1993,Norway,36.0,3.7012,20.1958,8.722,0.838,1.599,0.944
1994,Norway,37.905,4.0688,20.9362,9.424,0.845,1.677,0.954
1995,Norway,38.508,4.138,21.371,9.397,0.875,1.813,0.914
1996,Norway,41.572,4.1404,23.4396,10.118,0.863,2.058,0.953
1997,Norway,41.734,4.2116,23.1564,10.551,0.922,1.925,0.968
1998,Norway,41.871,4.4166,23.8064,9.859,0.9,1.996,0.893
1999,Norway,42.636,4.401,24.332,9.615,0.892,2.61,0.786
2000,Norway,42.147,4.323,22.388,11.038,0.89,2.759,0.749
2001,Norway,43.526,3.938,23.368,12.124,0.853,2.372,0.871
2002,Norway,42.592,3.4334,23.3666,12.296,0.875,1.912,0.709
2003,Norway,43.98,3.2838,24.4602,13.018,0.904,1.777,0.537
2004,Norway,44.307,3.669,24.115,13.592,0.716,1.71,0.505
2005,Norway,43.342,3.3192,23.7148,13.423,0.78,1.587,0.518
2006,Norway,43.926,2.7456,24.8194,13.598,0.805,1.426,0.532
2007,Norway,45.666,3.1094,24.4526,13.915,0.869,2.824,0.496
2008,Norway,44.795,3.2674,23.6836,14.085,0.833,2.363,0.563
2009,Norway,43.225,2.3524,23.2376,14.787,0.842,1.513,0.493
2010,Norway,45.691,3.0824,24.5326,15.04,0.754,1.565,0.717
2011,Norway,44.791,3.2186,24.2994,14.358,0.749,1.551,0.615
2012,Norway,44.3,3.1912,24.2918,14.081,0.725,1.423,0.588
2013,Norway,44.586,3.2928,24.5282,13.902,0.731,1.511,0.621
2014,Norway,45.046,3.527,24.099,14.645,0.727,1.408,0.64
2015,Norway,45.59,3.4284,23.8906,15.506,0.672,1.522,0.571
2016,Norway,44.765,3.5496,23.3674,15.142,0.684,1.467,0.555
2017,Norway,44.242,3.6428,22.6962,15.504,0.766,1.105,0.528
2018,Norway,44.393,3.5268,23.2112,15.297,0.73,1.079,0.549
2019,Norway,42.784,3.5468,21.9492,15.047,0.722,0.957,0.562
2020,Norway,41.196,3.6024,21.1856,14.317,0.725,0.83,0.536
2021,Norway,40.918553,4.1776,21.477984,12.672833,0.701255,1.51886,0.37002
1990,Poland,376.813577,302.28435,40.381515,18.721663,5.453461,4.235478,5.737109
1991,Poland,373.834442,303.094349,40.786805,17.129285,5.414315,2.832214,4.577474
1992,Poland,364.748781,293.86042,41.54739,16.610649,5.538101,2.830328,4.361893
1993,Poland,365.448045,293.178512,43.177076,16.835654,5.14717,2.689523,4.420111
1994,Poland,360.522221,283.682606,45.95907,18.123873,6.643182,1.725153,4.388337
1995,Poland,362.892258,282.564664,46.840104,19.090838,6.666458,2.914072,4.816122
1996,Poland,377.577851,293.186095,51.101035,19.810367,6.218924,2.496704,4.764726
1997,Poland,367.524628,277.515809,53.963269,21.004011,6.738931,3.200919,5.101689
1998,Poland,339.365274,251.777222,52.900712,20.62515,6.334246,2.707425,5.020518
1999,Poland,329.552343,239.662917,55.029757,20.427941,6.177662,3.531444,4.722623
2000,Poland,317.719195,228.82677,52.835995,21.837939,6.114182,3.381858,4.722451
2001,Poland,313.849975,226.15207,52.767787,22.634715,4.956938,2.870287,4.468178
2002,Poland,306.610293,219.897194,52.163626,22.422074,4.670148,3.011544,4.445709
2003,Poland,319.624035,226.405784,55.62442,24.832386,4.565827,3.563711,4.631908
2004,Poland,324.436208,226.42371,58.819748,26.562927,5.070056,2.7137,4.846068
2005,Poland,323.409481,222.637677,60.430283,27.40146,5.057142,3.387098,4.49582
2006,Poland,337.317578,232.308065,63.02652,27.630416,5.983742,3.975612,4.393222
2007,Poland,336.731479,227.707322,66.011381,27.91074,7.050407,3.610941,4.440688
2008,Poland,330.485117,220.472084,67.229893,28.134334,6.692993,3.5755,4.380313
2009,Poland,316.868513,209.073544,67.927146,27.273393,5.757238,2.872266,3.964926
2010,Poland,334.916988,220.927198,70.862728,29.134715,6.221494,3.488797,4.282057
2011,Poland,334.337154,218.378981,70.530176,29.325019,7.379394,4.021527,4.702057
2012,Poland,326.734935,214.039885,67.269441,30.558497,6.384301,4.211888,4.270922
2013,Poland,322.651181,214.314382,62.579292,30.803979,5.874228,4.801655,4.277644
2014,Poland,310.3191,202.997324,62.288999,29.463594,6.456416,4.702019,4.410747
2015,Poland,313.455719,201.647484,65.701021,30.634032,6.341808,4.746858,4.384515
2016,Poland,324.381233,202.098996,73.97804,32.419593,6.529685,4.553509,4.80141
2017,Poland,337.734951,203.597988,83.588319,34.129784,6.996488,4.663026,4.759346
2018,Poland,337.048486,198.827006,86.610586,34.283403,7.655328,4.83544,4.836724
2019,Poland,318.487666,177.935008,88.158063,35.490788,7.692452,4.343708,4.867646
2020,Poland,303.523082,164.234621,85.531578,36.764228,7.690636,4.225053,5.076966
2021,Poland,328.579763,179.501978,91.709086,40.570439,7.496242,4.225053,5.076966
1990,Portugal,45.325085,10.993122,29.553679,1.008722,3.176374,0.056586,0.536602
1991,Portugal,47.14164,11.594342,30.711947,0.947256,3.271233,0.060494,0.556368
1992,Portugal,50.969942,11.880207,34.721402,0.592005,3.135721,0.068145,0.572461
1993,Portugal,49.483611,12.535786,32.534295,0.554718,3.195473,0.084578,0.578761
1994,Portugal,50.261173,13.188193,32.437677,0.442128,3.292018,0.279478,0.621677
1995,Portugal,54.524438,14.593637,34.587851,0.784449,3.462061,0.417386,0.679054
1996,Portugal,51.815227,13.549647,32.903695,0.925162,3.387741,0.367423,0.681559
1997,Portugal,54.69441,13.732245,35.041931,1.139971,3.560889,0.469798,0.749576
1998,Portugal,59.247501,12.306749,39.699507,2.457601,3.536812,0.441168,0.805665
1999,Portugal,66.899642,14.90889,40.469259,6.465323,3.827131,0.384496,0.844542
2000,Portugal,65.685547,15.014825,39.893774,5.727495,3.809088,0.346334,0.894031
2001,Portugal,65.237192,12.713208,41.27162,6.281993,3.62694,0.42826,0.915171
2002,Portugal,69.643312,13.719936,43.320042,7.374404,3.910193,0.418853,0.899884
2003,Portugal,64.53789,12.987083,39.275322,7.331631,3.616072,0.467181,0.8606
2004,Portugal,67.385154,13.093647,39.758336,9.148407,4.003886,0.482425,0.898453
2005,Portugal,69.717987,13.076151,41.499566,9.615703,4.08763,0.563221,0.875717
2006,Portugal,64.923915,13.0815,37.360884,9.091098,4.000136,0.535567,0.854731
2007,Portugal,62.437402,11.445835,35.601301,9.74982,4.165778,0.553991,0.920677
2008,Portugal,60.106794,9.84923,34.291808,10.494898,4.01164,0.503987,0.95523
2009,Portugal,57.20748,10.750165,32.212018,9.719734,3.222528,0.468925,0.83411
2010,Portugal,53.001358,6.439521,31.368891,10.485697,3.376286,0.565696,0.765266
2011,Portugal,51.801576,8.646575,28.479407,10.508884,2.813218,0.522818,0.830675
2012,Portugal,49.959709,11.149684,25.619881,9.096887,2.550351,0.607053,0.935853
2013,Portugal,48.163477,10.205903,24.992933,8.107207,2.814234,1.183616,0.859584
2014,Portugal,47.945815,10.327998,25.009264,7.642641,3.095988,1.015642,0.854281
2015,Portugal,52.270289,12.57497,25.646109,9.110765,2.921236,1.139333,0.877875
2016,Portugal,50.442234,10.831652,25.576533,9.819985,2.297052,1.065741,0.851272
2017,Portugal,55.210185,12.406546,25.948,12.305273,2.530625,1.144149,0.875594
2018,Portugal,51.459107,10.388611,25.514011,11.325774,2.250869,1.047843,0.931998
2019,Portugal,47.618826,5.039867,26.152698,12.157955,2.225102,1.133223,0.909982
2020,Portugal,41.799894,2.430948,23.215232,11.992691,2.309659,1.012769,0.838594
2021,Portugal,40.797216,1.101646,23.885778,11.648769,2.309659,1.012769,0.838594
1990,South Korea,250.510837,94.307994,130.9471,6.433053,15.87303,0.0,2.94966
1991,South Korea,275.688225,94.093881,151.671116,7.441428,18.96226,0.0,3.51954
1992,South Korea,299.905413,91.320434,173.97151,9.732989,21.12886,0.0,3.75162
1993,South Korea,330.173952,99.619867,189.426779,12.159055,24.70049,0.0,4.26776
1994,South Korea,355.694835,101.801474,206.57279,16.185652,26.83997,0.0,4.29495
1995,South Korea,383.665454,105.299908,226.078783,19.573693,28.10457,0.0,4.6085
1996,South Korea,421.058363,122.689419,239.471456,25.85926,28.3085,0.062289,4.66744
1997,South Korea,444.989603,133.312908,246.07021,31.427281,29.32037,0.021984,4.83685
1998,South Korea,378.052437,137.598389,183.586116,29.399206,22.87895,0.014656,4.57512
1999,South Korea,410.537126,145.634742,200.628185,35.797459,23.71944,0.01832,4.73898
2000,South Korea,439.980692,163.883136,206.229051,40.204095,24.75589,0.0,4.90852
2001,South Korea,455.630633,174.625609,206.08268,44.163024,25.66529,0.0,5.09403
2002,South Korea,476.06488,187.636519,207.115517,49.069014,27.10707,0.0,5.13676
2003,South Korea,485.212785,195.319077,205.372465,51.400623,27.9204,0.0,5.20022
2004,South Korea,491.389426,203.137986,196.255763,60.234056,26.12359,0.0,5.63803
2005,South Korea,498.688299,209.293477,195.069382,65.26958,23.32588,0.0,5.72998
2006,South Korea,503.478183,216.428256,190.054239,67.995038,23.13968,0.0,5.86097
2007,South Korea,521.708715,228.427157,187.258138,73.37012,26.27512,0.0,6.37818
2008,South Korea,532.650764,253.041243,171.08832,75.92433,26.07981,0.0,6.51706
2009,South Korea,537.819831,262.394545,172.708274,72.171182,24.55339,0.0,5.99244
2010,South Korea,594.33911,295.050323,176.156433,91.541235,24.29735,0.0,7.29377
2011,South Korea,623.442837,320.169094,171.468675,98.512948,24.7206,0.0,8.57152
2012,South Korea,627.943034,316.989866,170.817246,106.566313,24.8486,0.0,8.72101
2013,South Korea,634.580703,320.643622,168.582207,111.530864,25.05014,0.0,8.77387
2014,South Korea,629.366484,331.303871,161.53353,101.445313,25.41199,0.0,9.67178
2015,South Korea,634.177278,335.411292,170.593973,92.588923,25.77871,0.0,9.80438
2016,South Korea,637.914084,320.697359,184.034149,96.655486,26.67176,0.0,9.85533
2017,South Korea,654.537269,337.668762,179.413376,100.860571,26.35058,0.0,10.24398
2018,South Korea,670.168699,340.3476,177.632938,117.17267,24.70206,0.0,10.31343
2019,South Korea,646.102263,321.60607,175.797343,113.58643,24.9299,0.0,10.18252
2020,South Korea,597.634242,282.883413,165.067876,116.63454,22.865592,0.000301,10.18252
2021,South Korea,616.074996,283.908353,171.484229,126.789734,23.704068,0.006091,10.18252
1990,Romania,173.46387,51.628329,43.882393,70.634714,4.445297,1.168364,1.704772
1991,Romania,141.91528,42.547648,36.469154,57.403806,3.200749,1.001384,1.29254
1992,Romania,131.509918,44.65938,35.984935,45.851266,2.905965,1.026026,1.082346
1993,Romania,122.278576,40.076461,33.729506,43.634941,2.833431,1.039745,0.964493
1994,Romania,120.542332,40.590086,32.702962,42.493025,2.770909,1.044431,0.940919
1995,Romania,125.582627,42.040789,34.162422,44.146993,3.145841,1.075532,1.01105
1996,Romania,128.935578,41.608158,38.36387,43.680485,3.200038,1.071196,1.011831
